TransactionLineItemID,TransactionID,TransactionDate,TransactionTime,StoreID,StoreName,StoreLocation,StoreRegion,Latitude,Longitude,StoreType,EmployeeID,EmployeeFirstName,EmployeeLastName,ShiftType,CustomerID,CustomerFirstName,CustomerLastName,CustomerEmail,CustomerSinceDate,CustomerGender,CustomerAge,LoyaltyMemberID,LoyaltyStatus,PointsEarned,PointsBalance,IsRewardRedeemed,RewardType,ProductID,ProductName,ProductCategory,ProductSubCategory,OrderType,PaymentMethod,UnitPrice,Quantity,TotalLineItemPrice,DayOfWeek,Daypart
13,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Bronze,12,227,TRUE,50% Off,P005,Cold Brew,Cold Beverages,Cold Brew,Mobile Order,Reward,4,3,12,Sunday,Evening
14,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Afternoon,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,NULL,Non-Member,0,0,TRUE,50% Off,P002,Cappuccino,Hot Beverages,Espresso,Mobile Order,Reward,4.25,1,4.25,Sunday,Evening
15,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,6,61,TRUE,50% Off,P008,Green Tea Latte,Hot Beverages,Tea,Mobile Order,Reward,4.25,1,4.25,Sunday,Evening
16,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Afternoon,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Bronze,14,906,TRUE,Free Pastry,P007,Caffe Mocha,Hot Beverages,Espresso,Mobile Order,Reward,4.75,3,14.25,Sunday,Evening
17,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,6,1299,TRUE,Free Pastry,P002,Cappuccino,Hot Beverages,Espresso,Mobile Order,Reward,4.25,1,4.25,Sunday,Evening
18,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Morning,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,5,1030,TRUE,Free Pastry,P004,Iced Coffee,Cold Beverages,Iced Coffee,Mobile Order,Reward,3.75,1,3.75,Sunday,Evening
19,100002,01-06-2025,22:10:29,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP025,Brian,Santiago,Evening,CUS145,Anthony,Griffin,dyork@example.com,07-04-2022,M,54,LM145,Silver,10,1190,TRUE,Free Beverage,P001,Caffe Americano,Hot Beverages,Espresso,Mobile Order,Reward,3.5,2,7,Sunday,Evening
20,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Evening,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,NULL,Non-Member,0,0,TRUE,Free Pastry,P010,Chocolate Croissant,Food,Pastry,Dine-In,Reward,3.5,3,10.5,Wednesday,Evening
21,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Morning,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,LM042,Gold,8,1289,TRUE,Free Beverage,P008,Green Tea Latte,Hot Beverages,Tea,Dine-In,Reward,4.25,1,4.25,Wednesday,Evening
22,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Morning,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,LM042,Bronze,2,1939,TRUE,Free Beverage,P012,Bagel,Food,Pastry,Dine-In,Reward,2.75,1,2.75,Wednesday,Evening
23,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Afternoon,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,NULL,Non-Member,0,0,TRUE,Free Pastry,P011,Breakfast Sandwich,Food,Sandwich,Dine-In,Reward,5.5,2,11,Wednesday,Evening
24,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Afternoon,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,NULL,Non-Member,0,0,TRUE,Free Beverage,P007,Caffe Mocha,Hot Beverages,Espresso,Dine-In,Reward,4.75,3,14.25,Wednesday,Evening
25,100003,12-02-2025,04:42:15,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP036,Andrea,Boyd,Afternoon,CUS042,Mary,Cole,hhester@example.com,25-06-2024,F,45,LM042,Bronze,3,1476,TRUE,Free Pastry,P004,Iced Coffee,Cold Beverages,Iced Coffee,Dine-In,Reward,3.75,1,3.75,Wednesday,Evening
26,100004,19-09-2025,02:21:45,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP010,Phillip,Flores,Afternoon,CUS080,Anthony,Anderson,nicholassmith@example.org,16-08-2021,F,70,LM080,Silver,8,1596,FALSE,NULL,P012,Bagel,Food,Pastry,Take-Out,Cash,2.75,2,5.5,Friday,Evening
27,100004,19-09-2025,02:21:45,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP010,Phillip,Flores,Afternoon,CUS080,Anthony,Anderson,nicholassmith@example.org,16-08-2021,F,70,LM080,Bronze,8,1988,FALSE,NULL,P012,Bagel,Food,Pastry,Take-Out,Cash,2.75,3,8.25,Friday,Evening
28,100004,19-09-2025,02:21:45,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP010,Phillip,Flores,Evening,CUS080,Anthony,Anderson,nicholassmith@example.org,16-08-2021,F,70,LM080,Gold,21,1384,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Take-Out,Cash,3.5,3,10.5,Friday,Evening
29,100004,19-09-2025,02:21:45,S007,Santa Monica,Los Angeles,West Coast,34.0242,-118.4965,Cafe,EMP010,Phillip,Flores,Evening,CUS080,Anthony,Anderson,nicholassmith@example.org,16-08-2021,F,70,LM080,Bronze,4,1714,FALSE,NULL,P005,Cold Brew,Cold Beverages,Cold Brew,Take-Out,Cash,4,1,4,Friday,Evening
30,100005,24-12-2024,04:42:58,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP048,Jeffery,Hernandez,Evening,CUS064,Rachel,Taylor,miguel31@example.net,28-11-2023,F,19,LM064,Silver,8,1189,FALSE,NULL,P012,Bagel,Food,Pastry,Mobile Order,Cash,2.75,2,5.5,Tuesday,Evening
31,100006,26-09-2025,10:50:55,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP017,Lauren,Washington,Evening,CUS009,Keith,Mcdaniel,xphillips@example.org,19-02-2022,M,48,LM009,Silver,13,329,FALSE,NULL,P009,Coffee Cake,Food,Pastry,Take-Out,Cash,3,3,9,Friday,Morning
32,100006,26-09-2025,10:50:55,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP017,Lauren,Washington,Afternoon,CUS009,Keith,Mcdaniel,xphillips@example.org,19-02-2022,M,48,LM009,Gold,25,271,FALSE,NULL,P008,Green Tea Latte,Hot Beverages,Tea,Take-Out,Cash,4.25,3,12.75,Friday,Morning
33,100006,26-09-2025,10:50:55,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP017,Lauren,Washington,Afternoon,CUS009,Keith,Mcdaniel,xphillips@example.org,19-02-2022,M,48,LM009,Silver,5,1659,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Take-Out,Cash,3.5,1,3.5,Friday,Morning
34,100006,26-09-2025,10:50:55,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP017,Lauren,Washington,Morning,CUS009,Keith,Mcdaniel,xphillips@example.org,19-02-2022,M,48,LM009,Gold,22,773,FALSE,NULL,P004,Iced Coffee,Cold Beverages,Iced Coffee,Take-Out,Cash,3.75,3,11.25,Friday,Morning
35,100007,03-09-2025,10:18:19,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP031,Anthony,Carson,Morning,CUS192,Gina,Mercer,stephanieskinner@example.org,01-06-2024,F,52,NULL,Non-Member,0,0,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Dine-In,Mobile Payment,3.5,1,3.5,Wednesday,Morning
36,100007,03-09-2025,10:18:19,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP031,Anthony,Carson,Morning,CUS192,Gina,Mercer,stephanieskinner@example.org,01-06-2024,F,52,NULL,Non-Member,0,0,FALSE,NULL,P003,Latte,Hot Beverages,Espresso,Dine-In,Mobile Payment,4.5,1,4.5,Wednesday,Morning
37,100007,03-09-2025,10:18:19,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP031,Anthony,Carson,Morning,CUS192,Gina,Mercer,stephanieskinner@example.org,01-06-2024,F,52,LM192,Silver,15,1982,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Dine-In,Mobile Payment,3.5,3,10.5,Wednesday,Morning
38,100007,03-09-2025,10:18:19,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP031,Anthony,Carson,Morning,CUS192,Gina,Mercer,stephanieskinner@example.org,01-06-2024,F,52,LM192,Bronze,11,70,FALSE,NULL,P004,Iced Coffee,Cold Beverages,Iced Coffee,Dine-In,Mobile Payment,3.75,3,11.25,Wednesday,Morning
39,100008,18-08-2025,19:47:02,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP048,Jeffery,Hernandez,Morning,CUS069,Alicia,Arnold,edavis@example.net,09-03-2024,M,42,LM069,Gold,28,1292,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Dine-In,Credit Card,4.75,3,14.25,Monday,Evening
40,100008,18-08-2025,19:47:02,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP048,Jeffery,Hernandez,Afternoon,CUS069,Alicia,Arnold,edavis@example.net,09-03-2024,M,42,LM069,Bronze,9,1160,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Dine-In,Credit Card,4.75,2,9.5,Monday,Evening
41,100009,26-04-2025,17:41:49,S001,Downtown Main,New York,Northeast,40.7589,-73.9851,Premium,EMP016,Denise,Johnston,Morning,CUS061,Luke,Blair,jessicahernandez@example.net,08-12-2023,M,21,LM061,Bronze,7,113,TRUE,Free Beverage,P004,Iced Coffee,Cold Beverages,Iced Coffee,Take-Out,Reward,3.75,2,7.5,Saturday,Evening
42,100010,02-02-2025,08:37:25,S008,The Loop,Chicago,Midwest,41.8781,-87.6298,Premium,EMP002,Christian,Edwards,Afternoon,CUS064,Rachel,Taylor,miguel31@example.net,28-11-2023,F,19,LM064,Gold,18,553,FALSE,NULL,P003,Latte,Hot Beverages,Espresso,Dine-In,Cash,4.5,2,9,Sunday,Morning
43,100010,02-02-2025,08:37:25,S008,The Loop,Chicago,Midwest,41.8781,-87.6298,Premium,EMP002,Christian,Edwards,Evening,CUS064,Rachel,Taylor,miguel31@example.net,28-11-2023,F,19,LM064,Silver,15,1020,FALSE,NULL,P001,Caffe Americano,Hot Beverages,Espresso,Dine-In,Cash,3.5,3,10.5,Sunday,Morning
44,100011,04-04-2025,23:46:37,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP038,James,Cannon,Morning,CUS177,Jeffrey,Holmes,heathanthony@example.net,22-11-2022,F,60,LM177,Bronze,14,149,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Drive-Thru,Mobile Payment,4.75,3,14.25,Friday,Evening
45,100012,18-05-2025,09:49:21,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP007,Adam,White,Morning,CUS172,Martha,Reed,hayneskenneth@example.com,21-02-2021,F,54,LM172,Silver,19,1806,TRUE,Free Pastry,P002,Cappuccino,Hot Beverages,Espresso,Drive-Thru,Reward,4.25,3,12.75,Sunday,Morning
46,100013,17-12-2024,00:07:24,S003,Central Park,New York,Northeast,40.7812,-73.9665,Cafe,EMP032,Ashley,Berry,Afternoon,CUS087,Chad,Rodriguez,donald02@example.com,10-02-2021,M,27,LM087,Silver,6,318,TRUE,50% Off,P003,Latte,Hot Beverages,Espresso,Dine-In,Reward,4.5,1,4.5,Tuesday,Evening
47,100014,20-12-2024,00:36:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP021,Kelly,Jones,Afternoon,CUS024,Shannon,Martin,mark62@example.com,24-01-2023,F,41,NULL,Non-Member,0,0,FALSE,NULL,P001,Caffe Americano,Hot Beverages,Espresso,Mobile Order,Cash,3.5,1,3.5,Friday,Evening
48,100014,20-12-2024,00:36:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP021,Kelly,Jones,Evening,CUS024,Shannon,Martin,mark62@example.com,24-01-2023,F,41,LM024,Bronze,6,1622,FALSE,NULL,P009,Coffee Cake,Food,Pastry,Mobile Order,Cash,3,2,6,Friday,Evening
49,100015,08-07-2025,17:13:38,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP005,Cory,Rice,Afternoon,CUS107,Patrick,Shaffer,wferrell@example.net,15-04-2024,M,58,LM107,Silver,6,1847,TRUE,Free Pastry,P008,Green Tea Latte,Hot Beverages,Tea,Take-Out,Reward,4.25,1,4.25,Tuesday,Evening
50,100015,08-07-2025,17:13:38,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP005,Cory,Rice,Evening,CUS107,Patrick,Shaffer,wferrell@example.net,15-04-2024,M,58,LM107,Gold,18,1081,TRUE,Free Pastry,P003,Latte,Hot Beverages,Espresso,Take-Out,Reward,4.5,2,9,Tuesday,Evening
51,100016,28-06-2025,23:18:40,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP001,Benjamin,Barker,Afternoon,CUS184,Kyle,Ryan,andrewlarson@example.org,07-09-2021,F,50,LM184,Silver,6,710,FALSE,NULL,P008,Green Tea Latte,Hot Beverages,Tea,Mobile Order,Credit Card,4.25,1,4.25,Saturday,Evening
52,100016,28-06-2025,23:18:40,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP001,Benjamin,Barker,Morning,CUS184,Kyle,Ryan,andrewlarson@example.org,07-09-2021,F,50,LM184,Gold,16,392,FALSE,NULL,P005,Cold Brew,Cold Beverages,Cold Brew,Mobile Order,Credit Card,4,2,8,Saturday,Evening
53,100016,28-06-2025,23:18:40,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP001,Benjamin,Barker,Morning,CUS184,Kyle,Ryan,andrewlarson@example.org,07-09-2021,F,50,LM184,Bronze,4,298,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Mobile Order,Credit Card,4.75,1,4.75,Saturday,Evening
54,100016,28-06-2025,23:18:40,S005,Beverly Hills,Los Angeles,West Coast,34.0736,-118.4004,Premium,EMP001,Benjamin,Barker,Afternoon,CUS184,Kyle,Ryan,andrewlarson@example.org,07-09-2021,F,50,NULL,Non-Member,0,0,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Mobile Order,Credit Card,3.5,2,7,Saturday,Evening
55,100017,11-08-2025,01:25:49,S009,Magnificent Mile,Chicago,Midwest,41.8986,-87.6298,Drive-Thru,EMP027,Rebecca,Contreras,Morning,CUS123,Christina,Thomas,daniel17@example.net,26-04-2022,F,68,LM123,Gold,8,169,FALSE,NULL,P002,Cappuccino,Hot Beverages,Espresso,Mobile Order,Credit Card,4.25,1,4.25,Monday,Evening
56,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Afternoon,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,LM011,Gold,17,984,TRUE,Free Pastry,P002,Cappuccino,Hot Beverages,Espresso,Drive-Thru,Reward,4.25,2,8.5,Wednesday,Morning
57,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Morning,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,LM011,Gold,21,447,TRUE,50% Off,P006,Frappuccino,Cold Beverages,Blended,Drive-Thru,Reward,5.25,2,10.5,Wednesday,Morning
58,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Afternoon,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,NULL,Non-Member,0,0,TRUE,Free Beverage,P004,Iced Coffee,Cold Beverages,Iced Coffee,Drive-Thru,Reward,3.75,3,11.25,Wednesday,Morning
59,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Morning,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,NULL,Non-Member,0,0,TRUE,50% Off,P009,Coffee Cake,Food,Pastry,Drive-Thru,Reward,3,2,6,Wednesday,Morning
60,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Evening,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,LM011,Bronze,4,1456,TRUE,Free Pastry,P005,Cold Brew,Cold Beverages,Cold Brew,Drive-Thru,Reward,4,1,4,Wednesday,Morning
61,100018,12-03-2025,10:46:19,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP003,Garrett,Sullivan,Morning,CUS011,Sheila,Smith,micheleschroeder@example.com,08-02-2024,M,41,NULL,Non-Member,0,0,TRUE,50% Off,P011,Breakfast Sandwich,Food,Sandwich,Drive-Thru,Reward,5.5,1,5.5,Wednesday,Morning
62,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Afternoon,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Bronze,10,1458,FALSE,NULL,P010,Chocolate Croissant,Food,Pastry,Drive-Thru,Mobile Payment,3.5,3,10.5,Sunday,Evening
63,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Evening,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,NULL,Non-Member,0,0,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Drive-Thru,Mobile Payment,4.75,3,14.25,Sunday,Evening
64,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Afternoon,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,NULL,Non-Member,0,0,FALSE,NULL,P007,Caffe Mocha,Hot Beverages,Espresso,Drive-Thru,Mobile Payment,4.75,2,9.5,Sunday,Evening
65,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Afternoon,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Silver,6,1043,FALSE,NULL,P002,Cappuccino,Hot Beverages,Espresso,Drive-Thru,Mobile Payment,4.25,1,4.25,Sunday,Evening
66,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Morning,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Silver,5,346,FALSE,NULL,P004,Iced Coffee,Cold Beverages,Iced Coffee,Drive-Thru,Mobile Payment,3.75,1,3.75,Sunday,Evening
67,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Morning,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Bronze,6,958,FALSE,NULL,P009,Coffee Cake,Food,Pastry,Drive-Thru,Mobile Payment,3,2,6,Sunday,Evening
68,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Afternoon,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Silver,12,1364,FALSE,NULL,P012,Bagel,Food,Pastry,Drive-Thru,Mobile Payment,2.75,3,8.25,Sunday,Evening
69,100019,09-03-2025,19:17:11,S002,Times Square,New York,Northeast,40.758,-73.9855,Drive-Thru,EMP042,Tanya,Anderson,Afternoon,CUS059,Joseph,Castillo,williamsamanda@example.net,27-07-2023,M,40,LM059,Gold,17,1081,FALSE,NULL,P002,Cappuccino,Hot Beverages,Espresso,Drive-Thru,Mobile Payment,4.25,2,8.5,Sunday,Evening
70,100020,03-09-2025,11:43:41,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP002,Christian,Edwards,Evening,CUS153,Melody,Johnson,zdavis@example.com,17-04-2021,M,40,LM153,Bronze,11,1724,FALSE,NULL,P011,Breakfast Sandwich,Food,Sandwich,Dine-In,Mobile Payment,5.5,2,11,Wednesday,Morning
71,100020,03-09-2025,11:43:41,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP002,Christian,Edwards,Evening,CUS153,Melody,Johnson,zdavis@example.com,17-04-2021,M,40,LM153,Bronze,9,254,FALSE,NULL,P009,Coffee Cake,Food,Pastry,Dine-In,Mobile Payment,3,3,9,Wednesday,Morning
72,100020,03-09-2025,11:43:41,S006,Hollywood Blvd,Los Angeles,West Coast,34.1015,-118.3265,Drive-Thru,EMP002,Christian,Edwards,Afternoon,CUS153,Melody,Johnson,zdavis@example.com,17-04-2021,M,40,LM153,Silver,4,1625,FALSE,NULL,P012,Bagel,Food,Pastry,Dine-In,Mobile Payment,2.75,1,2.75,Wednesday,Morning
